codigo,nombre,tipo,mov,EMCR,EVR,EM,Dif_EVR,Dif_EM,Factor_EVR,Factor_EM
40,Segovia,Exteriores,Inmigraciones,2156,1503,1249,43.4,72.6,0.6971,0.5793
40,Segovia,Internas,Inmigraciones,4133,4145,3358,-0.3,23.1,1.0029,0.8125
41,Sevilla,Exteriores,Emigraciones,15443,7576,8250,103.8,87.2,0.4906,0.5342
41,Sevilla,Internas,Emigraciones,18960,19118,14883,-0.8,27.4,1.0083,0.785
41,Sevilla,Exteriores,Inmigraciones,16569,11678,9363,41.9,77,0.7048,0.5651
41,Sevilla,Internas,Inmigraciones,18949,19119,15503,-0.9,22.2,1.009,0.8181
42,Soria,Exteriores,Emigraciones,901,591,491,52.5,83.5,0.6559,0.545
42,Soria,Internas,Emigraciones,2258,2272,1481,-0.6,52.5,1.0062,0.6559
42,Soria,Exteriores,Inmigraciones,1303,977,822,33.4,58.5,0.7498,0.6309
42,Soria,Internas,Inmigraciones,2045,2066,1531,-1,33.6,1.0103,0.7487
43,Tarragona,Exteriores,Emigraciones,15957,12443,11618,28.2,37.3,0.7798,0.7281
43,Tarragona,Internas,Emigraciones,14742,14736,10628,0,38.7,0.9996,0.7209
43,Tarragona,Exteriores,Inmigraciones,18898,13695,10620,38,77.9,0.7247,0.562
43,Tarragona,Internas,Inmigraciones,20282,20497,15454,-1,31.2,1.0106,0.762
44,Teruel,Exteriores,Emigraciones,1258,786,688,60.1,82.8,0.6248,0.5469
44,Teruel,Internas,Emigraciones,3216,3212,2423,0.1,32.7,0.9988,0.7534
44,Teruel,Exteriores,Inmigraciones,1751,1470,1115,19.1,57,0.8395,0.6368
44,Teruel,Internas,Inmigraciones,3399,3386,2619,0.4,29.8,0.9962,0.7705
45,Toledo,Exteriores,Emigraciones,8378,4627,4116,81.1,103.5,0.5523,0.4913
45,Toledo,Internas,Emigraciones,20338,20403,14297,-0.3,42.3,1.0032,0.703
45,Toledo,Exteriores,Inmigraciones,11135,7660,5436,45.4,104.8,0.6879,0.4882
45,Toledo,Internas,Inmigraciones,24568,24326,17956,1,36.8,0.9901,0.7309
46,Valencia,Exteriores,Emigraciones,36047,24774,15580,45.5,131.4,0.6873,0.4322
46,Valencia,Internas,Emigraciones,24752,24841,17434,-0.4,42,1.0036,0.7043
46,Valencia,Exteriores,Inmigraciones,53925,41021,33600,31.5,60.5,0.7607,0.6231
46,Valencia,Internas,Inmigraciones,30092,30093,21273,0,41.5,1,0.7069
47,Valladolid,Exteriores,Emigraciones,3844,2274,2197,69,75,0.5916,0.5715
47,Valladolid,Internas,Emigraciones,7132,7041,5359,1.3,33.1,0.9872,0.7514
47,Valladolid,Exteriores,Inmigraciones,4955,3903,3076,27,61.1,0.7877,0.6208
47,Valladolid,Internas,Inmigraciones,7163,7187,5516,-0.3,29.9,1.0034,0.7701
48,Bizkaia,Exteriores,Emigraciones,10346,6587,5728,57.1,80.6,0.6367,0.5536
48,Bizkaia,Internas,Emigraciones,12963,13059,9967,-0.7,30.1,1.0074,0.7689
48,Bizkaia,Exteriores,Inmigraciones,12033,10061,6980,19.6,72.4,0.8361,0.5801
48,Bizkaia,Internas,Inmigraciones,11994,12018,8080,-0.2,48.4,1.002,0.6737
49,Zamora,Exteriores,Emigraciones,843,428,459,97,83.7,0.5077,0.5445
49,Zamora,Internas,Emigraciones,2897,2904,2286,-0.2,26.7,1.0024,0.7891
49,Zamora,Exteriores,Inmigraciones,1244,817,668,52.3,86.2,0.6568,0.537
49,Zamora,Internas,Inmigraciones,2934,2916,2414,0.6,21.5,0.9939,0.8228
50,Zaragoza,Exteriores,Emigraciones,16262,27198,22111,-40.2,-26.5,1.6725,1.3597
50,Zaragoza,Internas,Emigraciones,12899,12770,9688,1,33.1,0.99,0.7511
50,Zaragoza,Exteriores,Inmigraciones,14923,12168,8327,22.6,79.2,0.8154,0.558
50,Zaragoza,Internas,Inmigraciones,12591,12694,9197,-0.8,36.9,1.0082,0.7304
Total,Total,Exteriores,Emigraciones,693976,451187,379755,53.8,82.7,0.6501,0.5472
Total,Total,Exteriores,Inmigraciones,885724,660727,526907,34.1,68.1,0.7460,0.5949
Total,Total,Internas,Emigraciones,646787,648391,476032,-0.2,35.9,1.0025,0.7360
Total,Total,Internas,Inmigraciones,649096,650795,479143,-0.3,35.5,1.0026,0.7382
